# StatCan survey → subject mapping. EDIT THE `subjects` COLUMN (the last one).
#
# The taxonomy is Statistics Canada’s, captured from their subject facet. The assignment is
# ours and is not published anywhere fetchable, so this file is the source of truth for it.
#
# Format: pipe-separate multiple subjects, e.g.  Health|Children and youth
#         leave blank to leave a survey unclassified (shown as unclassified, not guessed).
# Spelling must match the taxonomy exactly; the loader reports anything it does not recognize.
#
# suggest_name    — from the official survey title. Higher precision; a title is a deliberate label.
# suggest_content — from variable text. Lower precision: it filed CHMS under Languages and put
#                   Transportation on CCHS. Offered for reference, not as an answer.
#
survey_group	acronym	records	official_name	suggest_name	subjects	suggest_content
NGS_END_2023	NGS	480	National Graduates Survey (NGS)	Education, training and learning		Education, training and learning|Labour
CIS_ECR_2014	CIS	480	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
CAFTWS_ETBFAC_2017	CAFTWS	475				Families, households and marital status|Health
CIS_ECR_2013	CIS	472	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
CIS_ECR_2012	CIS	466	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
SMHSE_ESMES	SMHSE	460				Health
PSES_SAFF_2024	PSES	444	Public Service Employee Survey (PSES)			Labour
CIUS_ECUI_2020	CIUS	441	Canadian Internet Use Survey (CIUS)	Digital economy and society		Digital economy and society
CCAHS_ECSAC_2023	CCAHS	437	Canadian COVID-19 Antibody and Health Survey (CCAHS)	Health		Health
CTADS_ECTAD_2017	CTADS	434	Canadian Tobacco&#44; Alcohol and Drugs Survey (CTADS)	Health		Health
PSSCSC_ESPCC_2022	PSSCSC	422				Digital economy and society|Housing|Families, households and marital status
CADS_ECAD_2019	CADS	421	Canadian Alcohol and Drugs Survey (CADS)	Health		Health
CIUS_ECUI_2022	CIUS	420	Canadian Internet Use Survey (CIUS)	Digital economy and society		Digital economy and society
PSES_SAFF_2017	PSES	404	Public Service Employee Survey (PSES)			Labour
RAIS_SIAI_08_16	RAIS	396	Registered Apprenticeship Information System (RAIS)	Labour		Education, training and learning|Housing|Labour
HES_EME_2015	HES	379	Households and the Environment Survey (HES)	Families, households and marital status|Environment		Environment|Families, households and marital status|Housing
PSES_SAFF_2022	PSES	377	Public Service Employee Survey (PSES)			Labour
CSELCC_ECAGJE_2023	CSELCC	369	Canadian Survey on Early Learning and Child Care (CSELCC)	Education, training and learning|Children and youth		Children and youth|Transportation|Families, households and marital status|Labour
CTADS_ECTAD_2015	CTADS	359	Canadian Tobacco&#44; Alcohol and Drugs Survey (CTADS)	Health		Health
EWHS_STSCS_2021	EWHS	348				Labour|Health
CTADS_ECTAD_2013	CTADS	346	Canadian Tobacco&#44; Alcohol and Drugs Survey (CTADS)	Health		Health
EICS_ECAE_2023	EICS	344	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth
EICS_ECAE_2024	EICS	344	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Population and demography|Children and youth
CNHS_EBAS_2013	CNHS	338				
EICS_ECAE_2017	EICS	334	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth|Housing
EICS_ECAE_2016	EICS	333	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth
SIMT_ETFI_2018	SIMT	333				
